epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4137,0.80865,2.0706,1.35591,0.67733,0.69843,0.72373,0.46742,1.11647,1.5856,1.61674,0.000368709,0.000368709,0.000368709
2,73.0154,0.88131,1.31042,1.3932,0.77438,0.71988,0.7774,0.48208,1.19247,1.27551,1.67949,0.000714654,0.000714654,0.000714654
3,106.988,0.90056,1.19616,1.41125,0.7145,0.66674,0.6934,0.43499,1.25496,1.35353,1.77781,0.00103616,0.00103616,0.00103616
4,140.8,0.93095,1.14943,1.42195,0.76686,0.70851,0.77463,0.49798,1.21051,1.20096,1.68442,0.00100101,0.00100101,0.00100101
5,174.525,0.92291,1.10109,1.42216,0.76133,0.69544,0.73581,0.46952,1.2035,1.24438,1.70798,0.000964348,0.000964348,0.000964348
6,208.231,0.92364,1.07781,1.43117,0.82394,0.6896,0.77924,0.50044,1.2414,1.1366,1.7192,0.000927685,0.000927685,0.000927685
7,242.116,0.90575,1.04917,1.41179,0.77276,0.74011,0.79382,0.51591,1.18274,1.09332,1.66409,0.000891022,0.000891022,0.000891022
8,275.92,0.90641,1.01038,1.41579,0.77217,0.7238,0.7838,0.49842,1.22363,1.11758,1.7426,0.000854359,0.000854359,0.000854359
9,309.87,0.90124,0.97601,1.40883,0.79982,0.66798,0.76952,0.48871,1.21159,1.13634,1.69803,0.000817696,0.000817696,0.000817696
10,343.732,0.89833,0.96283,1.40506,0.78911,0.70436,0.77814,0.50989,1.22748,1.10065,1.71243,0.000781033,0.000781033,0.000781033
11,377.543,0.89505,0.95915,1.39993,0.80724,0.74885,0.81491,0.533,1.19239,1.02402,1.66695,0.00074437,0.00074437,0.00074437
12,411.057,0.87906,0.93789,1.39142,0.82968,0.71281,0.80444,0.52894,1.20371,1.03135,1.68407,0.000707707,0.000707707,0.000707707
13,444.776,0.85499,0.90238,1.37925,0.82524,0.76415,0.83028,0.5458,1.1966,0.96724,1.66853,0.000671044,0.000671044,0.000671044
14,478.607,0.86376,0.89173,1.38045,0.80798,0.74056,0.81312,0.53556,1.15567,1.01631,1.64117,0.000634381,0.000634381,0.000634381
15,512.181,0.84866,0.86379,1.36928,0.81092,0.76174,0.8226,0.55476,1.15779,0.96718,1.64725,0.000597718,0.000597718,0.000597718
16,545.624,0.85071,0.86119,1.36806,0.82205,0.76274,0.81756,0.54214,1.15583,0.95256,1.65513,0.000561055,0.000561055,0.000561055
17,579.673,0.83275,0.84466,1.36516,0.82983,0.75482,0.81903,0.54876,1.16064,0.97681,1.64006,0.000524392,0.000524392,0.000524392
18,613.525,0.81692,0.8177,1.34661,0.82194,0.72916,0.82053,0.55218,1.1415,0.97387,1.63048,0.000487729,0.000487729,0.000487729
19,647.29,0.80875,0.81806,1.33678,0.80677,0.78436,0.83586,0.58056,1.10526,0.89968,1.5834,0.000451066,0.000451066,0.000451066
20,680.99,0.81212,0.80677,1.34653,0.8496,0.74803,0.83165,0.57152,1.12263,0.91646,1.60241,0.000414403,0.000414403,0.000414403
21,734.031,0.77881,0.6534,1.45555,0.86236,0.79115,0.85259,0.58408,1.10014,0.85862,1.60214,0.00037774,0.00037774,0.00037774
22,767.608,0.75213,0.61646,1.43203,0.83098,0.74175,0.83164,0.57131,1.10275,0.92088,1.60252,0.000341077,0.000341077,0.000341077
23,801.279,0.73313,0.58106,1.41474,0.81758,0.76969,0.8239,0.5717,1.09843,0.91237,1.58827,0.000304414,0.000304414,0.000304414
24,834.73,0.72661,0.56649,1.4038,0.81537,0.79162,0.84604,0.59847,1.05471,0.87563,1.54379,0.000267751,0.000267751,0.000267751
25,868.257,0.70934,0.5518,1.39301,0.83483,0.77627,0.84504,0.59319,1.09364,0.86194,1.57993,0.000231088,0.000231088,0.000231088
26,901.42,0.69371,0.53002,1.37794,0.84312,0.77633,0.84351,0.5937,1.07264,0.8535,1.5723,0.000194425,0.000194425,0.000194425
27,935.1,0.68161,0.52139,1.36181,0.83215,0.75949,0.84119,0.5888,1.08884,0.86915,1.58399,0.000157762,0.000157762,0.000157762
28,968.952,0.66402,0.50284,1.35413,0.85688,0.76642,0.84832,0.5941,1.08424,0.85452,1.57154,0.000121099,0.000121099,0.000121099
29,1002.47,0.65363,0.48925,1.33833,0.84663,0.7777,0.8538,0.60241,1.06626,0.83809,1.56115,8.4436e-05,8.4436e-05,8.4436e-05
30,1036.27,0.64187,0.48443,1.33753,0.8329,0.79488,0.84943,0.59906,1.06859,0.83034,1.56687,4.7773e-05,4.7773e-05,4.7773e-05
